index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
224,6,14,144.1837,10.0882,TO_2,threat,0,HELMET,lighthouse,F,M,MI,0.6275,NR,NR,NR,999.0000
225,6,15,154.3079,10.9889,TO_4,threat,0,TROPHY,ice_shelf,F,M,MI,0.5042,NR,NR,NR,999.0000
226,6,16,165.3325,9.9063,TI_4,threat,0,DIAMOND,bedroom,F,M,MI,0.5937,NR,NR,NR,999.0000
227,6,17,175.2752,9.0942,F,threat,0,VODKA,foil,F,CR,CR,0.6975,NR,NR,NR,999.0000
228,6,18,184.4057,9.1411,TO_4,threat,0,ORNAMENT,pagoda,F,M,MI,3.2977,NR,NR,NR,999.0000
229,6,19,193.5821,9.8024,TI_4,threat,0,SCISSORS,theater,F,M,MI,0.8381,NR,NR,NR,999.0000
230,6,20,203.4204,9.1185,TI_4,threat,0,ARMOR,archive,TO,SM,SMI_Lo,1.4223,NR,NR,NR,999.0000
231,6,21,212.5743,10.3657,TI_2,threat,0,WRENCH,auto_factory,F,M,MI,0.6256,NR,NR,NR,999.0000
232,6,22,222.9755,9.4130,TI_2,threat,0,FLASK,kindergarden_classroom,TO,SM,SMI_Lo,1.0765,NR,NR,NR,999.0000
233,6,23,232.4244,10.5629,F,threat,0,JUGGLER,foil,F,CR,CR,0.7207,NR,NR,NR,999.0000
234,6,24,243.0234,12.1000,F,threat,1,CHOCOLATE,foil,F,CR,CR,2.2311,NR,NR,NR,999.0000
235,6,25,255.1586,10.6464,TO_2,threat,0,MUSTARD,ice_floe,F,M,MI,0.5755,NR,NR,NR,999.0000
236,6,26,265.8409,9.9157,F,threat,0,FAN,foil,F,CR,CR,0.5150,NR,NR,NR,999.0000
237,6,27,275.7925,11.9357,F,threat,0,ROCKER,foil,F,CR,CR,0.3261,NR,NR,NR,999.0000
238,6,28,287.7640,11.1810,TI_2,threat,0,HAWK,jewelry_shop,F,M,MI,0.3215,NR,NR,NR,999.0000
239,6,29,298.9813,9.7474,TI_2,threat,0,DRUG,reception,F,M,MI,0.4166,NR,NR,NR,999.0000
240,6,30,308.7641,9.7558,F,threat,0,BROOM,foil,F,CR,CR,1.1299,NR,NR,NR,999.0000
241,6,31,318.5562,12.3236,F,threat,0,BROWNIE,foil,F,CR,CR,0.7581,NR,NR,NR,999.0000
242,6,32,330.9153,9.5307,TI_2,threat,0,DAISY,game_room,F,M,MI,1.6958,NR,NR,NR,999.0000
243,6,33,340.4816,9.1089,TI_2,threat,0,PYTHON,assembly_line,F,M,MI,1.4606,NR,NR,NR,999.0000
244,6,34,349.6264,11.3314,F,threat,0,SAIL,foil,F,CR,CR,0.8166,NR,NR,NR,999.0000
245,6,35,360.9938,10.4637,TO_4,threat,0,VIOLIN,railroad_track,F,M,MI,1.9804,NR,NR,NR,999.0000
246,6,36,371.4942,10.1894,F,threat,0,EMPEROR,foil,F,CR,CR,0.7716,NR,NR,NR,999.0000
247,6,37,381.7203,10.7023,TO_4,threat,0,CROWN,fountain,F,M,MI,0.9323,NR,NR,NR,999.0000
248,6,38,392.4586,9.2488,TO_4,threat,0,LIME,river,F,M,MI,0.8371,NR,NR,NR,999.0000
249,6,39,401.7446,11.9819,TI_2,threat,1,TYPEWRITER,stage,NR,NR,NR,999.0000,NR,NR,NR,999.0000
250,6,40,413.7626,9.7478,F,threat,0,BONE,foil,F,CR,CR,0.6016,NR,NR,NR,999.0000
251,6,41,423.5459,9.1716,F,threat,0,SCAB,foil,F,CR,CR,0.8587,NR,NR,NR,999.0000
252,6,42,432.7534,11.6153,TI_4,threat,0,HOSE,badminton_court,F,M,MI,0.5440,NR,NR,NR,999.0000
