,category,mask_name,mean,sd,subid,type,group
182,object,lh-inferiorparietal,0.621798689696,0.0738534842168,ap161,f1 score,stress
184,place,lh-inferiorparietal,0.876893939394,0.00189393939394,ap161,f1 score,stress
186,face,lh-inferiorparietal,0.57935673744,0.0121925583351,ap162,f1 score,stress
188,object,lh-inferiorparietal,0.616013071895,0.0604575163399,ap162,f1 score,stress
190,place,lh-inferiorparietal,0.790043290043,0.0281385281385,ap162,f1 score,stress
192,face,lh-inferiorparietal,0.778378378378,0.0216216216216,ap163,f1 score,stress
194,object,lh-inferiorparietal,0.743923240938,0.0275053304904,ap163,f1 score,stress
196,place,lh-inferiorparietal,0.922337465216,0.0268150771566,ap163,f1 score,stress
198,face,lh-inferiorparietal,0.789403085178,0.027498323273,ap164,f1 score,stress
200,object,lh-inferiorparietal,0.747217806041,0.0174880763116,ap164,f1 score,stress
202,place,lh-inferiorparietal,0.759523809524,0.0738095238095,ap164,f1 score,stress
204,face,lh-inferiorparietal,0.833976833977,0.023166023166,ap165,f1 score,stress
206,object,lh-inferiorparietal,0.843297101449,0.0317028985507,ap165,f1 score,stress
208,place,lh-inferiorparietal,0.878177966102,0.00317796610169,ap165,f1 score,stress
210,face,lh-inferiorparietal,0.758771929825,0.0745614035088,ap166,f1 score,stress
212,object,lh-inferiorparietal,0.735294117647,0.117647058824,ap166,f1 score,stress
214,place,lh-inferiorparietal,0.657190635452,0.0674470457079,ap166,f1 score,stress
216,face,lh-inferiorparietal,0.750812567714,0.0184182015168,ap167,f1 score,stress
218,object,lh-inferiorparietal,0.592844600527,0.034021071115,ap167,f1 score,stress
220,place,lh-inferiorparietal,0.871777476255,0.0535956580733,ap167,f1 score,stress
222,face,lh-inferiorparietal,0.564285714286,0.0642857142857,ap168,f1 score,stress
224,object,lh-inferiorparietal,0.331262939959,0.0455486542443,ap168,f1 score,stress
226,place,lh-inferiorparietal,0.699921752739,0.0888106416275,ap168,f1 score,stress
228,face,lh-inferiorparietal,0.796825396825,0.0031746031746,ap169,f1 score,stress
230,object,lh-inferiorparietal,0.648094449047,0.0283761391881,ap169,f1 score,stress
232,place,lh-inferiorparietal,0.758942161339,0.0466133942161,ap169,f1 score,stress
234,face,lh-inferiorparietal,0.707473556442,0.0773365701405,ap170,f1 score,stress
236,object,lh-inferiorparietal,0.714006259781,0.10289514867,ap170,f1 score,stress
238,place,lh-inferiorparietal,0.838014527845,0.00944309927361,ap170,f1 score,stress
240,face,lh-inferiorparietal,0.805590062112,0.0229813664596,ap171,f1 score,stress
242,object,lh-inferiorparietal,0.606719367589,0.0309617918314,ap171,f1 score,stress
244,place,lh-inferiorparietal,0.811545988258,0.0170254403131,ap171,f1 score,stress
246,face,lh-inferiorparietal,0.6663003663,0.0765567765568,ap172,f1 score,stress
248,object,lh-inferiorparietal,0.814285714286,0.0142857142857,ap172,f1 score,stress
250,place,lh-inferiorparietal,0.715749039693,0.01152368758,ap172,f1 score,stress
252,face,lh-inferiorparietal,0.716417910448,0.0597014925373,ap173,f1 score,stress
254,object,lh-inferiorparietal,0.684901960784,0.00843137254902,ap173,f1 score,stress
256,place,lh-inferiorparietal,0.715351812367,0.00106609808102,ap173,f1 score,stress
258,face,lh-inferiorparietal,0.822723609992,0.000805801772764,ap174,f1 score,stress
260,object,lh-inferiorparietal,0.642369991475,0.00468883205456,ap174,f1 score,stress
262,place,lh-inferiorparietal,0.764590964591,0.0661782661783,ap174,f1 score,stress
