,category,mask_name,mean,sd,subid,type,group
224,object,bilat-parahipp_fusi_inftemp,0.477495107632,0.0939334637965,ap168,f1 score,stress
226,place,bilat-parahipp_fusi_inftemp,0.618421052632,0.0657894736842,ap168,f1 score,stress
228,face,bilat-parahipp_fusi_inftemp,0.909836065574,0.0901639344262,ap169,f1 score,stress
230,object,bilat-parahipp_fusi_inftemp,0.796650717703,0.112440191388,ap169,f1 score,stress
232,place,bilat-parahipp_fusi_inftemp,0.825898738942,0.0726519856955,ap169,f1 score,stress
234,face,bilat-parahipp_fusi_inftemp,0.901182432432,0.0363175675676,ap170,f1 score,stress
236,object,bilat-parahipp_fusi_inftemp,0.893455797933,0.0319173363949,ap170,f1 score,stress
238,place,bilat-parahipp_fusi_inftemp,0.880769230769,0.0192307692308,ap170,f1 score,stress
240,face,bilat-parahipp_fusi_inftemp,0.916083916084,0.00699300699301,ap171,f1 score,stress
242,object,bilat-parahipp_fusi_inftemp,0.782608695652,0.0289855072464,ap171,f1 score,stress
244,place,bilat-parahipp_fusi_inftemp,0.866071428571,0.00892857142857,ap171,f1 score,stress
246,face,bilat-parahipp_fusi_inftemp,0.777922077922,0.0506493506494,ap172,f1 score,stress
248,object,bilat-parahipp_fusi_inftemp,0.841728134879,0.0198103266596,ap172,f1 score,stress
250,place,bilat-parahipp_fusi_inftemp,0.75,0.0147058823529,ap172,f1 score,stress
252,face,bilat-parahipp_fusi_inftemp,0.887907608696,0.0183423913043,ap173,f1 score,stress
254,object,bilat-parahipp_fusi_inftemp,0.786339421613,0.0192161339422,ap173,f1 score,stress
256,place,bilat-parahipp_fusi_inftemp,0.787400076132,0.0576703464027,ap173,f1 score,stress
258,face,bilat-parahipp_fusi_inftemp,0.940298507463,0.0149253731343,ap174,f1 score,stress
260,object,bilat-parahipp_fusi_inftemp,0.633540372671,0.0621118012422,ap174,f1 score,stress
262,place,bilat-parahipp_fusi_inftemp,0.721399481673,0.0457238059978,ap174,f1 score,stress
