,index,group,subid,run,onset,condition,category,0,2,4,6,8,10,12,avg_logit,cond,reps
353,368,control,ap100,4.0,104.259,FA-0,place,-2.28862311689,-2.64643602758,-1.38525665955,1.88842243206,-0.87438209959,-2.16590289035,-1.86420146236,-0.634279804358,FA,0
356,371,control,ap100,4.0,114.7602,FA-0,place,-2.62566571029,-1.98408144247,-1.99863675517,-4.56130751594,-3.56770984653,-0.683622661925,-0.223527071408,-2.70281919489,FA,0
359,374,control,ap100,4.0,123.9061,sourcehit-4,place,-3.67724778428,0.786219045964,-0.0079724464334,5.74412829094,8.66884218923,7.03795546366,5.88650518081,5.36073837435,sourcehit,4
362,377,control,ap100,4.0,133.5686,CR-0,place,6.69661934979,5.67971163004,3.28334418113,-4.60461663584,-7.34500154633,-1.73182121523,4.60575165218,-2.59952380407,CR,0
365,380,control,ap100,4.0,142.8522,itemhit_lo-2,place,-2.15783933414,4.05333511915,1.93818252623,2.31843156493,9.29858969114,9.37033960748,-1.47256652825,5.73138584744,itemhit_lo,2
368,383,control,ap100,4.0,152.7762,sourcemiss_hi-2,place,9.15389256904,-1.97059224226,-1.65724922376,7.48334803803,9.64958395017,-0.509051968921,-5.76252349209,3.74165769888,sourcemiss_hi,2
371,386,control,ap100,4.0,164.4888,sourcehit-4,place,-7.19484932387,1.86450600139,5.45685014338,-0.897760322352,-1.21613749298,-4.55897210692,-5.5530987678,-0.304004944718,sourcehit,4
374,389,control,ap100,4.0,175.5123,itemhit_lo-2,place,-4.99665937787,-6.19391817623,-4.09269553814,-8.76841318677,-5.55450589386,2.16995735327,0.945466856704,-4.06141431638,itemhit_lo,2
377,392,control,ap100,4.0,185.297,CR-0,place,1.86781809839,0.818774491565,-0.971110614469,-4.73404032645,3.56514314495,6.66375060903,-3.9310338626,1.13093570327,CR,0
380,395,control,ap100,4.0,195.6907,sourcemiss_hi-4,place,6.40144991642,-4.32613223359,-0.0496848865647,6.42582672685,2.16902694827,-0.688671102558,-4.39051608319,1.9641244215,sourcemiss_hi,4
383,398,control,ap100,4.0,205.4221,sourcehit-4,place,-1.15610165752,-5.21614666127,-2.1328852441,2.15513336849,0.11406995506,-5.08530913581,-6.77302718997,-1.23724776409,sourcehit,4
386,401,control,ap100,4.0,214.6269,sourcehit-4,place,-5.42992055366,-7.43196515448,-5.04675334888,0.650451484288,-0.100829644556,0.551803713837,9.85063013987,-0.986331948828,sourcehit,4
389,404,control,ap100,4.0,225.3653,M-2,place,0.171421865172,10.0125838726,16.8881229341,4.45498703639,-6.97216850804,-6.79025758929,-10.7122531033,1.89517096829,M,2
392,407,control,ap100,4.0,235.3843,CR-0,place,-7.33205727206,-11.9883759071,-11.3051212694,-5.9396118362,-3.16902523609,-3.96454302979,-2.8358994097,-6.09457534287,CR,0
395,410,control,ap100,4.0,244.7901,sourcehit-2,place,-4.40071973807,-3.16997989249,2.20352410995,3.41320231801,1.16208490279,7.89312520299,12.8254816434,3.66798413343,sourcehit,2
398,413,control,ap100,4.0,257.1484,CR-0,place,10.2714720453,5.27558741707,2.63105021264,6.45458152723,3.95151242667,-0.0283379067089,3.9640938193,3.25220156496,CR,0
401,416,control,ap100,4.0,266.2349,CR-0,place,-0.387857864701,3.85552769925,0.805823542985,-6.80217408918,2.88582258057,3.2333855498,-2.11372044889,0.0307143960438,CR,0
404,419,control,ap100,4.0,277.8857,sourcehit-4,place,2.80779171783,-2.36965895627,0.223708930179,-1.84356980866,-4.56985835249,0.159940286624,5.39851120317,-1.50744473609,sourcehit,4
407,422,control,ap100,4.0,287.8469,CR-0,place,-0.193125502712,5.08573683548,0.380506000253,-2.81712932575,0.279802736622,-0.438139759913,-0.624841931529,-0.648740087197,CR,0
410,425,control,ap100,4.0,297.0248,FA-0,place,-0.747858416155,-1.13760832946,1.10595615085,-0.4736637765,-5.35916361627,-2.09927021859,0.0296388970417,-1.70653536513,FA,0
413,428,control,ap100,4.0,307.6059,sourcehit-4,place,-2.52062112009,-0.509475702487,0.0574297424172,-0.0247685770529,0.94601731315,1.39838064858,2.14689782951,0.594264781774,sourcehit,4
416,431,control,ap100,4.0,318.9031,CR-0,place,0.239557061907,0.264521153558,3.14496271969,-3.72910758918,-2.07919499119,4.22519422135,4.6603774834,0.390463590167,CR,0
419,434,control,ap100,4.0,328.3507,sourcemiss_hi-4,place,3.78163338944,4.30728529803,-0.594153206684,-1.57012309343,-1.98106947167,1.85712713038,0.45095898199,-0.572054660351,sourcemiss_hi,4
422,437,control,ap100,4.0,338.143,CR-0,place,1.56590878579,0.224481499972,-3.69387235715,-1.95915495482,0.914897538268,-2.75309894919,-0.56005251605,-1.87280718072,CR,0
425,440,control,ap100,4.0,347.4477,CR-0,place,1.07729015042,-2.09995315662,-0.113025727831,-4.63156670734,-3.39348729445,4.71586603417,9.02686506383,-0.855553423863,CR,0
428,443,control,ap100,4.0,357.0136,sourcehit-2,place,4.3249994754,8.84913383631,2.84412071576,-1.18832398064,-4.46397738214,-3.79328689584,-6.11211947029,-1.65036688572,sourcehit,2
431,446,control,ap100,4.0,366.967,sourcemiss_hi-2,place,-4.11960663654,-6.60154426738,-12.7855455065,-4.25736907061,-2.80574431687,-2.49418541041,5.85216395579,-5.5857110761,sourcemiss_hi,2
434,449,control,ap100,4.0,376.9082,sourcehit-2,place,-3.00102336743,4.91887425844,3.55290850427,-3.64600815162,0.801035976881,1.9209784187,-4.68845491036,0.657228687058,sourcehit,2
