index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
118,3,34,345.5683,11.6201,TI_2,safe,0,MUSTARD,reception,TO,SM,SMI_Lo,2.3529,NR,NR,NR,999.0000
119,3,35,357.2190,10.6513,TI_2,safe,0,ORANGE,ball_pit,TI,H,HI_Lo,2.1930,NR,NR,NR,999.0000
120,3,36,367.9008,9.5359,TO_4,safe,0,CHEESE,playground,TO,H,HO_Lo,2.2560,NR,NR,NR,999.0000
121,3,37,377.4678,9.3738,TO_4,safe,0,SCAB,iceberg,TO,H,HO_Lo,1.6483,NR,NR,NR,999.0000
122,3,38,386.8729,10.0931,F,safe,0,DRUG,foil,TI,FA,FAI_Lo,2.1903,NR,NR,NR,999.0000
123,3,39,396.9966,9.9307,F,safe,0,SHELL,foil,TI,FA,FAI_Lo,2.0430,NR,NR,NR,999.0000
124,3,40,406.9585,10.4691,F,safe,0,BUCKET,foil,TI,FA,FAI_Lo,1.5075,NR,NR,NR,999.0000
125,3,41,417.4583,12.3276,TO_2,safe,0,PUDDLE,river,F,M,MI,1.2514,NR,NR,NR,999.0000
126,3,42,429.8171,10.5503,F,safe,0,CANDY,foil,TO,FA,FAO_Lo,2.6633,NR,NR,NR,999.0000
127,4,1,12.0052,9.9477,TO_4,threat,0,ORCHID,mausoleum,TO,H,HO_Lo,2.9816,NR,NR,NR,999.0000
128,4,2,21.9852,10.1944,F,threat,0,MILK,foil,TI,FA,FAI_Lo,2.4223,NR,NR,NR,999.0000
129,4,3,32.2114,10.3697,TI_2,threat,0,FOX,laundromat,TO,SM,SMI_Lo,2.1103,NR,NR,NR,999.0000
130,4,4,42.6125,10.4699,TO_4,threat,0,ROSARY,mountain_snowy,TO,H,HO_Lo,2.2818,NR,NR,NR,999.0000
131,4,5,53.1138,9.5339,F,threat,0,SOCK,foil,F,CR,CR,1.7223,NR,NR,NR,999.0000
132,4,6,62.6796,10.1047,TI_2,threat,0,PANTS,escalator,F,M,MI,1.3319,NR,NR,NR,999.0000
133,4,7,72.8154,12.3222,TO_4,threat,0,BABY,arch,F,M,MI,1.7666,NR,NR,NR,999.0000
134,4,8,85.1689,11.6811,TO_2,threat,0,HARPOON,bullring,TI,SM,SMO_Lo,2.7855,NR,NR,NR,999.0000
135,4,9,96.8820,10.7067,TO_2,threat,0,VODKA,dock,TI,SM,SMO_Lo,1.8276,NR,NR,NR,999.0000
136,4,10,107.6201,9.8053,F,threat,0,MAGICIAN,foil,F,CR,CR,1.4039,NR,NR,NR,999.0000
137,4,11,117.4568,9.3720,TI_4,threat,0,BOAT,bedroom,F,M,MI,1.1847,NR,NR,NR,999.0000
138,4,12,126.8606,11.2651,TO_4,threat,0,BOOT,ruin,TO,H,HO_Lo,2.8616,NR,NR,NR,999.0000
139,4,13,138.1574,9.6843,F,threat,0,SQUIRREL,foil,TI,FA,FAI_Lo,2.1039,NR,NR,NR,999.0000
140,4,14,147.8731,9.1223,F,threat,0,TROLLEY,foil,F,CR,CR,2.7858,NR,NR,NR,999.0000
141,4,15,157.0274,10.9937,F,threat,0,SADDLE,foil,TI,FA,FAI_Lo,2.4245,NR,NR,NR,999.0000
142,4,16,168.0534,11.6180,TO_2,threat,0,YACHT,hot_spring,TO,H,HO_Lo,2.3680,NR,NR,NR,999.0000
143,4,17,179.7030,9.0585,TI_2,threat,0,ASPARAGUS,bazaar,TI,H,HI_Lo,2.1696,NR,NR,NR,999.0000
144,4,18,188.7935,11.7510,TI_4,threat,1,TOAST,control_room,TO,SM,SMI_Lo,2.6113,NR,NR,NR,999.0000
145,4,19,200.9294,8.7454,TI_4,threat,0,HOOK,cockpit,TO,SM,SMI_Lo,1.8112,NR,NR,NR,999.0000
146,4,20,209.7096,9.4143,F,threat,0,SCREWDRIVER,foil,TO,FA,FAO_Lo,3.3000,NR,NR,NR,999.0000
147,4,21,219.1592,9.2703,TO_2,threat,0,POSTER,castle,TI,SM,SMO_Lo,3.0199,NR,NR,NR,999.0000
148,4,22,228.4641,9.8895,TO_2,threat,0,SARDINE,cliff,TI,SM,SMO_Lo,2.1677,NR,NR,NR,999.0000
149,4,23,238.3883,10.5472,F,threat,0,MUFFIN,foil,TI,FA,FAI_Lo,1.9718,NR,NR,NR,999.0000
150,4,24,248.9706,9.1741,TI_2,threat,0,SHRIMP,gymnasium,TI,H,HI_Lo,3.2253,NR,NR,NR,999.0000
151,4,25,258.1793,11.9368,F,threat,0,PASSPORT,foil,F,CR,CR,1.2872,NR,NR,NR,999.0000
152,4,26,270.1507,9.9263,F,threat,0,HOSE,foil,TO,FA,FAO_Lo,2.3701,NR,NR,NR,999.0000
153,4,27,280.1120,9.9846,TI_2,threat,0,ROCK,optician,TI,H,HI_Lo,1.9647,NR,NR,NR,999.0000
154,4,28,290.1313,10.6458,TO_4,threat,0,ARMOR,badlands,TO,H,HO_Lo,2.1924,NR,NR,NR,999.0000
155,4,29,300.8116,9.3858,TI_2,threat,0,MAP,cloister,TI,H,HI_Lo,3.2965,NR,NR,NR,999.0000
156,4,30,310.2327,9.1428,TI_2,threat,0,CANE,closet,TI,H,HI_Lo,2.4150,NR,NR,NR,999.0000
157,4,31,319.4099,9.1110,TO_2,threat,0,KEG,rock_arch,TI,SM,SMO_Lo,1.6810,NR,NR,NR,999.0000
158,4,32,328.5556,9.7561,TI_4,threat,0,NEEDLE,candy_store,TO,SM,SMI_Lo,2.3636,NR,NR,NR,999.0000
159,4,33,338.3462,9.2497,TO_4,threat,0,BROWNIE,corral,TO,H,HO_Hi,1.7852,NR,NR,NR,999.0000
160,4,34,347.6305,10.0904,TI_4,threat,0,DIAMOND,music_store,TO,SM,SMI_Lo,2.4375,NR,NR,NR,999.0000
161,4,35,357.7556,9.7500,F,threat,0,DAMSEL,foil,F,CR,CR,1.3971,NR,NR,NR,999.0000
162,4,36,367.5408,12.3228,TI_4,threat,0,DOVE,living_room,TO,SM,SMI_Lo,3.0167,NR,NR,NR,999.0000
163,4,37,379.8984,11.1819,F,threat,0,CLAM,foil,TI,FA,FAI_Lo,2.1198,NR,NR,NR,999.0000
164,4,38,391.1152,11.3313,F,threat,0,OATMEAL,foil,TI,FA,FAI_Lo,2.4901,NR,NR,NR,999.0000
165,4,39,402.4820,9.6257,TO_4,threat,0,BAYONET,lock_chamber,TI,SM,SMO_Lo,2.6347,NR,NR,NR,999.0000
166,4,40,412.1426,10.5647,TO_2,threat,0,LANTERN,pagoda,F,M,MI,1.6547,NR,NR,NR,999.0000
167,4,41,422.7427,9.6841,F,threat,0,SOOT,foil,F,CR,CR,1.2617,NR,NR,NR,999.0000
168,4,42,432.4617,9.9058,TI_4,threat,0,MEDICINE,dorm_room,TI,H,HI_Lo,2.8408,NR,NR,NR,999.0000
169,5,1,12.0045,9.9578,TI_2,safe,0,CANARY,volleyball_court,TO,SM,SMI_Lo,2.6110,NR,NR,NR,999.0000
170,5,2,21.9966,9.7573,F,safe,0,ASPIRIN,foil,TI,FA,FAI_Lo,1.5722,NR,NR,NR,999.0000
171,5,3,31.7871,9.6856,TO_2,safe,0,GLOBE,hayfield,F,M,MI,1.3354,NR,NR,NR,999.0000
172,5,4,41.5053,9.6821,TI_2,safe,0,FIDDLE,lobby,TO,SM,SMI_Lo,2.3443,NR,NR,NR,999.0000
173,5,5,51.2200,9.8928,TO_2,safe,0,QUARTER,oil_refinery,TI,SM,SMO_Lo,2.2002,NR,NR,NR,999.0000
174,5,6,61.1455,9.1752,TO_4,safe,0,DOUGHNUT,cottage_garden,TO,H,HO_Lo,3.2628,NR,NR,NR,999.0000
175,5,7,70.3538,9.9091,F,safe,0,WALRUS,foil,TO,FA,FAO_Lo,1.7859,NR,NR,NR,999.0000
176,5,8,80.2957,9.2735,TO_4,safe,0,WITCH,rice_paddy,TO,H,HO_Lo,2.6768,NR,NR,NR,999.0000
177,5,9,89.6017,10.1035,F,safe,0,TRAY,foil,F,CR,CR,1.3260,NR,NR,NR,999.0000
178,5,10,99.7380,9.9853,TO_4,safe,0,CHOCOLATE,ocean,TI,SM,SMO_Lo,2.0589,TO,H,HO_Lo,0.0267
179,5,11,109.7559,10.7069,F,safe,0,ALLIGATOR,foil,TI,FA,FAI_Lo,1.4461,NR,NR,NR,999.0000
180,5,12,120.4954,9.1128,TI_4,safe,0,LION,lecture_room,TI,H,HI_Lo,1.4515,NR,NR,NR,999.0000
181,5,13,129.6410,9.6294,TI_2,safe,0,FROG,nursery,TO,SM,SMI_Lo,2.2864,NR,NR,NR,999.0000
182,5,14,139.3032,9.0980,F,safe,0,WALNUT,foil,F,CR,CR,1.2340,NR,NR,NR,999.0000
183,5,15,148.4340,10.0935,TI_4,safe,0,APPLE,biology_laboratory,TI,H,HI_Lo,1.9785,NR,NR,NR,999.0000
184,5,16,158.5610,9.3698,TI_4,safe,0,ICICLE,shopping_mall,TO,SM,SMI_Lo,2.2899,NR,NR,NR,999.0000
185,5,17,167.9636,9.9186,TO_2,safe,0,MUSSEL,butte,TI,SM,SMO_Lo,1.2622,NR,NR,NR,999.0000
186,5,18,177.9152,10.4690,TI_2,safe,0,PASTE,garage,TO,SM,SMI_Lo,2.0929,NR,NR,NR,999.0000
187,5,19,188.4175,10.5488,TI_2,safe,0,SLIPPER,ice_skating_rink,TO,SM,SMI_Lo,2.6438,NR,NR,NR,999.0000
188,5,20,198.9991,9.2491,TI_2,safe,0,CLARINET,restaurant,TO,SM,SMI_Lo,1.6891,NR,NR,NR,999.0000
189,5,21,208.2811,11.2639,TO_2,safe,0,QUILT,cemetery,TI,SM,SMO_Lo,1.4405,NR,NR,NR,999.0000
190,5,22,219.5779,11.1838,TI_4,safe,0,CAMEL,ballroom,TI,H,HI_Lo,3.0116,NR,NR,NR,999.0000
