"","subid","group","shockCond","reps","resp","H","SM","dprime","c"
"160","ap120","control","threat","4","outdoor",0.571428571428571,0.19047619047619,1.05615521903955,0.348065239727068
"161","ap121","control","safe","2","indoor",0.0238095238095238,0.0476190476190476,-0.3123612027002,1.82457179529718
"162","ap121","control","safe","2","outdoor",0.238095238095238,0.19047619047619,0.163699816857352,0.794292940818165
"163","ap121","control","safe","4","indoor",0.19047619047619,0.0238095238095238,1.10460954740044,1.42844762294706
"164","ap121","control","safe","4","outdoor",0.333333333333333,0.238095238095238,0.281715733094032,0.571585165842473
"165","ap121","control","threat","2","indoor",0.285714285714286,0.142857142857143,0.501621701945279,0.816759672905502
"166","ap121","control","threat","2","outdoor",0.238095238095238,0.0476190476190476,0.95594816155759,1.19041711316828
"167","ap121","control","threat","4","indoor",0.142857142857143,0.0952380952380952,0.241601192907636,1.18837112033196
"168","ap121","control","threat","4","outdoor",0.19047619047619,0.142857142857143,0.191427674631301,0.971856686562491
"169","ap122","control","safe","2","indoor",0.285714285714286,0.0476190476190476,1.10244237201422,1.11717000793997
"170","ap122","control","safe","2","outdoor",0.523809523809524,0.142857142857143,1.12728762366346,0.503926712046409
"171","ap122","control","safe","4","indoor",0.571428571428571,0.0476190476190476,1.84840356373978,0.744189412077187
"172","ap122","control","safe","4","outdoor",0.761904761904762,0.0476190476190476,2.38083422633657,0.477974080778795
"173","ap122","control","threat","2","indoor",0.476190476190476,0.0476190476190476,1.60867409416176,0.864054146866201
"174","ap122","control","threat","2","outdoor",0.619047619047619,0.0476190476190476,1.97137164200329,0.682705372945436
"175","ap122","control","threat","4","indoor",0.761904761904762,0.142857142857143,1.78001355626763,0.177563745744326
"176","ap122","control","threat","4","outdoor",0.619047619047619,0.0238095238095238,2.28373284470349,0.838885974295536
"177","ap150","stress","safe","2","indoor",0.428571428571429,0.0238095238095238,1.80074002685457,1.08038238321999
"178","ap150","stress","safe","2","outdoor",0.333333333333333,0.0238095238095238,1.55002509735182,1.20573984797137
"179","ap150","stress","safe","4","indoor",0.285714285714286,0.05,1.07890480501861,1.10540122444217
"180","ap150","stress","safe","4","outdoor",0.55,0.0238095238095238,2.10641374350235,0.927545524896102
"181","ap150","stress","threat","2","indoor",0.2,0.0555555555555556,0.751597584450136,1.21742002579798
"182","ap150","stress","threat","2","outdoor",0.444444444444444,0.1,1.14184126666274,0.710630932213231
"183","ap150","stress","threat","4","indoor",0.5,0.15,1.03643338949379,0.518216694746895
"184","ap150","stress","threat","4","outdoor",0.6,0.111111111111111,1.47398745198315,0.483646622855775
"185","ap151","stress","safe","2","indoor",0.0238095238095238,0.0238095238095238,0,1.98075239664728
"186","ap151","stress","safe","2","outdoor",0.0238095238095238,0.0476190476190476,-0.3123612027002,1.82457179529718
"187","ap151","stress","safe","4","indoor",0.0952380952380952,0.0238095238095238,0.671580679861501,1.64496205671653
