"","subid","group","shockCond","reps","hits","olds","fas","news","hitRate","faRate","halfHit","halfFA","crRate","dprime","c"
"101","ap153","stress","safe","2",35,42,4,42,0.833333333333333,0.0952380952380952,0.0119047619047619,0.0119047619047619,0.904761904761905,2.27659328288748,0.170875075342038
"102","ap153","stress","threat","2",26,37,7,40,0.702702702702703,0.175,0.0135135135135135,0.0125,0.825,1.46677902199278,0.201199780077088
"103","ap153","stress","safe","4",38,42,4,42,0.904761904761905,0.0952380952380952,0.0119047619047619,0.0119047619047619,0.904761904761905,2.61834343357155,0
"104","ap153","stress","threat","4",37,39,7,40,0.948717948717949,0.175,0.0128205128205128,0.0125,0.825,2.56713725691983,-0.348979337386434
"105","ap154","stress","safe","2",25,40,9,42,0.625,0.214285714285714,0.0125,0.0119047619047619,0.785714285714286,1.11027797170775,0.2364996218895
"106","ap154","stress","threat","2",28,40,9,38,0.7,0.236842105263158,0.0125,0.0131578947368421,0.763157894736842,1.24089801288603,0.0960484937349754
"107","ap154","stress","safe","4",34,42,9,42,0.80952380952381,0.214285714285714,0.0119047619047619,0.0119047619047619,0.785714285714286,1.66778145699022,-0.0422521207517332
"108","ap154","stress","threat","4",33,40,9,38,0.825,0.236842105263158,0.0125,0.0131578947368421,0.763157894736842,1.65108679125147,-0.109045895447744
"109","ap155","stress","safe","2",40,42,25,42,0.952380952380952,0.595238095238095,0.0119047619047619,0.0119047619047619,0.404761904761905,1.42735080006105,-0.954715793916553
"110","ap155","stress","threat","2",25,27,19,28,0.925925925925926,0.678571428571429,0.0185185185185185,0.0178571428571429,0.321428571428571,0.982395841460996,-0.954905672187677
"111","ap155","stress","safe","4",41,42,25,42,0.976190476190476,0.595238095238095,0.0119047619047619,0.0119047619047619,0.404761904761905,1.73971200276125,-1.11089639526665
"112","ap155","stress","threat","4",25,25,19,28,0.98,0.678571428571429,0.02,0.0178571428571429,0.321428571428571,1.59004115917464,-1.2587283310445
"113","ap156","stress","safe","2",31,42,27,42,0.738095238095238,0.642857142857143,0.0119047619047619,0.0119047619047619,0.357142857142857,0.271377804161807,-0.501795258881473
"114","ap156","stress","threat","2",36,40,25,40,0.9,0.625,0.0125,0.0125,0.375,0.962912201580226,-0.800095464754488
"115","ap156","stress","safe","4",39,42,27,42,0.928571428571429,0.642857142857143,0.0119047619047619,0.0119047619047619,0.357142857142857,1.09912743588495,-0.915670074743046
"116","ap156","stress","threat","4",35,38,25,40,0.921052631578947,0.625,0.0131578947368421,0.0125,0.375,1.09354821494179,-0.865413471435269
"117","ap157","stress","safe","2",36,42,16,42,0.857142857142857,0.380952380952381,0.0119047619047619,0.0119047619047619,0.619047619047619,1.37055097193435,-0.382295037910967
"118","ap157","stress","threat","2",35,39,16,39,0.897435897435897,0.41025641025641,0.0128205128205128,0.0128205128205128,0.58974358974359,1.49396119580232,-0.520095153365283
"119","ap157","stress","safe","4",39,42,16,42,0.928571428571429,0.380952380952381,0.0119047619047619,0.0119047619047619,0.619047619047619,1.76821424074173,-0.581126672314658
"120","ap157","stress","threat","4",39,40,16,39,0.975,0.41025641025641,0.0125,0.0128205128205128,0.58974358974359,2.18684942907593,-0.866539270002087
"121","ap158","control","safe","2",29,42,17,42,0.69047619047619,0.404761904761905,0.0119047619047619,0.0119047619047619,0.595238095238095,0.738240964567581,-0.128080088397764
"122","ap158","control","threat","2",31,42,28,42,0.738095238095238,0.666666666666667,0.0119047619047619,0.0119047619047619,0.333333333333333,0.20675686166692,-0.534105730128917
"123","ap158","control","safe","4",34,42,17,42,0.80952380952381,0.404761904761905,0.0119047619047619,0.0119047619047619,0.595238095238095,1.11718324313287,-0.317551227680407
"124","ap158","control","threat","4",35,42,28,42,0.833333333333333,0.666666666666667,0.0119047619047619,0.0119047619047619,0.333333333333333,0.536694266806244,-0.699074432698579
"125","ap159","stress","safe","2",26,42,2,42,0.619047619047619,0.0476190476190476,0.0119047619047619,0.0119047619047619,0.952380952380952,1.97137164200329,0.682705372945436
"126","ap159","stress","threat","2",22,40,3,36,0.55,0.0833333333333333,0.0125,0.0138888888888889,0.916666666666667,1.50865547395571,0.628666390122782
"127","ap159","stress","safe","4",33,41,2,42,0.804878048780488,0.0476190476190476,0.0121951219512195,0.0119047619047619,0.952380952380952,2.52756632354293,0.404608032175614
"128","ap159","stress","threat","4",31,41,3,36,0.75609756097561,0.0833333333333333,0.0121951219512195,0.0138888888888889,0.916666666666667,2.07679853483701,0.344594859682135
"129","ap160","stress","safe","2",23,41,9,42,0.560975609756098,0.214285714285714,0.0121951219512195,0.0119047619047619,0.785714285714286,0.945081806566709,0.31909770446002
"130","ap160","stress","threat","2",13,37,7,39,0.351351351351351,0.179487179487179,0.0135135135135135,0.0128205128205128,0.82051282051282,0.535646531853665,0.649497919692395
"131","ap160","stress","safe","4",21,42,9,42,0.5,0.214285714285714,0.0119047619047619,0.0119047619047619,0.785714285714286,0.791638607743375,0.395819303871687
"132","ap160","stress","threat","4",22,40,7,39,0.55,0.179487179487179,0.0125,0.0128205128205128,0.82051282051282,1.0429825324743,0.395829919382077
