,subid,group,cond,run,trial,onset,duration,acc,respRT,duration_adj,onset_adj
125,loc169,stress,place,2.0,57.0,141.0019,1.4997,1.0,0.5089,0.4997,129.0019
126,loc170,stress,face,2.0,64.0,151.501,1.4997,1.0,0.5066,0.4997,139.501
127,loc170,stress,object,2.0,67.0,165.0016,1.4998,1.0,0.5514,0.4998,153.0016
128,loc170,stress,place,2.0,79.0,192.0012,1.4997,1.0,0.5484,0.4997,180.0012
129,loc171,stress,face,1.0,65.0,153.0004,1.4997,1.0,0.4272,0.4997,141.0004
130,loc171,stress,object,1.0,53.0,126.0013,1.4996,1.0,0.4263,0.4996,114.0013
131,loc171,stress,place,1.0,67.0,165.0008,1.4996,1.0,0.4285,0.4996,153.0008
132,loc172,stress,face,2.0,90.0,217.5017,1.4997,1.0,0.431,0.4997,205.5017
133,loc172,stress,object,2.0,53.5,126.75125,1.49975,1.0,0.43495,0.49975,114.75125
134,loc172,stress,place,1.0,74.5,176.2509,1.49975,1.0,0.4437,0.49975,164.2509
135,loc173,stress,face,2.0,62.5,149.25145,1.4996,1.0,0.3695,0.4996,137.25145
136,loc173,stress,object,1.0,78.0,190.5016,1.4996,1.0,0.4164,0.4996,178.5016
137,loc173,stress,place,1.0,73.0,174.0005,1.4998,1.0,0.4329,0.4998,162.0005
138,loc174,stress,face,2.0,38.0,94.5011,1.4998,1.0,0.3585,0.4998,82.5011
139,loc174,stress,object,1.0,71.0,171.0008,1.4998,1.0,0.3951,0.4998,159.0008
140,loc174,stress,place,1.5,64.5,152.2505,1.49985,1.0,0.383,0.49985,140.2505
