,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
90,CR,,70.0,mni,sourcehit-cr,smoothed,ap117,-4.64168643951,control
91,FA,,70.0,mni,sourcehit-cr,smoothed,ap117,-510.903564453,control
92,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap117,303.812164307,control
93,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap117,56.206615448,control
94,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap117,-321.567840576,control
95,M,,70.0,mni,sourcehit-cr,smoothed,ap117,-456.303863525,control
96,CR,,70.0,mni,sourcehit-cr,smoothed,ap118,-279.366882324,control
97,FA,,70.0,mni,sourcehit-cr,smoothed,ap118,-127.90512085,control
98,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap118,756.333618164,control
99,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap118,-102.396759033,control
100,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap118,444.582397461,control
101,M,,70.0,mni,sourcehit-cr,smoothed,ap118,-98.0127258301,control
102,CR,,70.0,mni,sourcehit-cr,smoothed,ap119,-348.832763672,control
103,FA,,70.0,mni,sourcehit-cr,smoothed,ap119,-531.720397949,control
104,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap119,377.404602051,control
105,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap119,-29.7929725647,control
106,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap119,382.208709717,control
107,M,,70.0,mni,sourcehit-cr,smoothed,ap119,-735.197570801,control
108,CR,,70.0,mni,sourcehit-cr,smoothed,ap120,205.423034668,control
109,FA,,70.0,mni,sourcehit-cr,smoothed,ap120,-820.909240723,control
110,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap120,400.714813232,control
111,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap120,-217.072021484,control
112,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap120,-498.684814453,control
113,M,,70.0,mni,sourcehit-cr,smoothed,ap120,-40.5078315735,control
114,CR,,70.0,mni,sourcehit-cr,smoothed,ap121,714.678344727,control
115,FA,,70.0,mni,sourcehit-cr,smoothed,ap121,472.747894287,control
116,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap121,140.303222656,control
117,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap121,737.14630127,control
118,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap121,42.5533027649,control
119,M,,70.0,mni,sourcehit-cr,smoothed,ap121,403.955780029,control
120,CR,,70.0,mni,sourcehit-cr,smoothed,ap122,-262.367095947,control
121,FA,,70.0,mni,sourcehit-cr,smoothed,ap122,-42.0479888916,control
122,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap122,639.644836426,control
123,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap122,403.034820557,control
124,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap122,84.727104187,control
125,M,,70.0,mni,sourcehit-cr,smoothed,ap122,317.190704346,control
126,CR,,70.0,mni,sourcehit-cr,smoothed,ap150,543.300842285,stress
127,FA,,70.0,mni,sourcehit-cr,smoothed,ap150,-66.8713531494,stress
128,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap150,668.545349121,stress
129,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap150,210.172515869,stress
130,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap150,617.460327148,stress
131,M,,70.0,mni,sourcehit-cr,smoothed,ap150,149.213378906,stress
132,CR,,70.0,mni,sourcehit-cr,smoothed,ap152,8.24501037598,stress
133,FA,,70.0,mni,sourcehit-cr,smoothed,ap152,-452.148040771,stress
134,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap152,84.107460022,stress
135,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap152,-288.375946045,stress
136,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap152,-696.529602051,stress
137,M,,70.0,mni,sourcehit-cr,smoothed,ap152,-153.3230896,stress
138,CR,,70.0,mni,sourcehit-cr,smoothed,ap153,195.143890381,stress
139,FA,,70.0,mni,sourcehit-cr,smoothed,ap153,92.5553359985,stress
140,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap153,376.333709717,stress
141,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap153,550.38494873,stress
142,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap153,588.747924805,stress
143,M,,70.0,mni,sourcehit-cr,smoothed,ap153,-199.892379761,stress
144,CR,,70.0,mni,sourcehit-cr,smoothed,ap154,-126.418273926,stress
145,FA,,70.0,mni,sourcehit-cr,smoothed,ap154,82.9672470093,stress
146,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap154,390.501739502,stress
147,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap154,45.6962394714,stress
148,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap154,426.753601074,stress
149,M,,70.0,mni,sourcehit-cr,smoothed,ap154,275.639129639,stress
150,CR,,70.0,mni,sourcehit-cr,smoothed,ap155,174.606826782,stress
151,FA,,70.0,mni,sourcehit-cr,smoothed,ap155,175.040420532,stress
152,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap155,323.01083374,stress
153,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap155,292.750518799,stress
154,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap155,277.448730469,stress
155,M,,70.0,mni,sourcehit-cr,smoothed,ap155,427.295715332,stress
156,CR,,70.0,mni,sourcehit-cr,smoothed,ap157,-244.230300903,stress
157,FA,,70.0,mni,sourcehit-cr,smoothed,ap157,-302.563903809,stress
158,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap157,132.392150879,stress
159,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap157,-259.998199463,stress
160,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap157,335.707366943,stress
161,M,,70.0,mni,sourcehit-cr,smoothed,ap157,-251.348052979,stress
162,CR,,70.0,mni,sourcehit-cr,smoothed,ap158,22.3772125244,control
163,FA,,70.0,mni,sourcehit-cr,smoothed,ap158,-6.60696554184,control
164,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap158,500.177612305,control
165,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap158,-6.4003663063,control
166,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap158,-1008.14666748,control
167,M,,70.0,mni,sourcehit-cr,smoothed,ap158,-88.8132553101,control
168,CR,,70.0,mni,sourcehit-cr,smoothed,ap159,120.334320068,stress
169,FA,,70.0,mni,sourcehit-cr,smoothed,ap159,-29.5416641235,stress
170,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap159,623.969238281,stress
171,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap159,558.418334961,stress
172,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap159,1035.0513916,stress
173,M,,70.0,mni,sourcehit-cr,smoothed,ap159,187.087860107,stress
174,CR,,70.0,mni,sourcehit-cr,smoothed,ap160,7.39400005341,stress
175,FA,,70.0,mni,sourcehit-cr,smoothed,ap160,821.243164062,stress
176,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap160,418.963470459,stress
177,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap160,-413.418060303,stress
178,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap160,958.325561523,stress
179,M,,70.0,mni,sourcehit-cr,smoothed,ap160,307.293670654,stress
180,CR,,70.0,mni,sourcehit-cr,smoothed,ap161,185.990966797,stress
181,FA,,70.0,mni,sourcehit-cr,smoothed,ap161,-468.429901123,stress
182,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap161,-205.48626709,stress
183,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap161,-101.862884521,stress
184,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap161,299.889892578,stress
185,M,,70.0,mni,sourcehit-cr,smoothed,ap161,-626.37878418,stress
186,CR,,70.0,mni,sourcehit-cr,smoothed,ap162,391.761108398,stress
187,FA,,70.0,mni,sourcehit-cr,smoothed,ap162,61.938205719,stress
