,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1481,itemhit_lo,lh,62.0,epi,hippocampus-head,unsmoothed,ap109,104.443145752,control
1482,itemhit_lo,rh,70.0,epi,hippocampus-head,unsmoothed,ap109,107.879112244,control
1510,sourcemiss_hi,lh,62.0,epi,hippocampus-head,unsmoothed,ap109,45.5681991577,control
1511,sourcemiss_hi,rh,70.0,epi,hippocampus-head,unsmoothed,ap109,354.627624512,control
1539,M,lh,62.0,epi,hippocampus-head,unsmoothed,ap109,-220.812225342,control
1540,M,rh,70.0,epi,hippocampus-head,unsmoothed,ap109,-97.0277938843,control
1568,CR,lh,68.0,epi,hippocampus-head,unsmoothed,ap110,-149.210968018,control
1569,CR,rh,69.0,epi,hippocampus-head,unsmoothed,ap110,-231.787536621,control
1597,FA,lh,68.0,epi,hippocampus-head,unsmoothed,ap110,195.547729492,control
1598,FA,rh,69.0,epi,hippocampus-head,unsmoothed,ap110,65.1349029541,control
1626,sourcehit,lh,68.0,epi,hippocampus-head,unsmoothed,ap110,59.2064476013,control
1627,sourcehit,rh,69.0,epi,hippocampus-head,unsmoothed,ap110,24.0688724518,control
1655,itemhit_lo,lh,68.0,epi,hippocampus-head,unsmoothed,ap110,-136.537628174,control
1656,itemhit_lo,rh,69.0,epi,hippocampus-head,unsmoothed,ap110,-185.646636963,control
1684,sourcemiss_hi,lh,68.0,epi,hippocampus-head,unsmoothed,ap110,2206.27587891,control
1685,sourcemiss_hi,rh,69.0,epi,hippocampus-head,unsmoothed,ap110,1765.95373535,control
1713,M,lh,68.0,epi,hippocampus-head,unsmoothed,ap110,207.194763184,control
1714,M,rh,69.0,epi,hippocampus-head,unsmoothed,ap110,109.993728638,control
1742,CR,lh,71.0,epi,hippocampus-head,unsmoothed,ap111,-476.519317627,control
1743,CR,rh,75.0,epi,hippocampus-head,unsmoothed,ap111,-535.543029785,control
1771,FA,lh,71.0,epi,hippocampus-head,unsmoothed,ap111,-881.669189453,control
1772,FA,rh,75.0,epi,hippocampus-head,unsmoothed,ap111,-620.694702148,control
1800,sourcehit,lh,71.0,epi,hippocampus-head,unsmoothed,ap111,134.416229248,control
1801,sourcehit,rh,75.0,epi,hippocampus-head,unsmoothed,ap111,29.9571819305,control
