,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1693,sourcemiss_hi,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap110,1033.71130371,control
1721,M,lh,58.0,epi,DefaultC_Rsp,unsmoothed,ap110,-1093.05981445,control
1722,M,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap110,-1313.06469727,control
1750,CR,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap111,-827.01348877,control
1751,CR,rh,55.0,epi,DefaultC_Rsp,unsmoothed,ap111,-731.05279541,control
1779,FA,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap111,-213.784072876,control
1780,FA,rh,55.0,epi,DefaultC_Rsp,unsmoothed,ap111,63.910785675,control
1808,sourcehit,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap111,1698.29431152,control
1809,sourcehit,rh,55.0,epi,DefaultC_Rsp,unsmoothed,ap111,1779.63134766,control
1837,itemhit_lo,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap111,1030.9864502,control
1838,itemhit_lo,rh,55.0,epi,DefaultC_Rsp,unsmoothed,ap111,883.892456055,control
1866,sourcemiss_hi,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap111,1799.83984375,control
1867,sourcemiss_hi,rh,55.0,epi,DefaultC_Rsp,unsmoothed,ap111,2424.95166016,control
1895,M,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap111,-187.733566284,control
1896,M,rh,55.0,epi,DefaultC_Rsp,unsmoothed,ap111,-783.18737793,control
1924,CR,lh,51.0,epi,DefaultC_Rsp,unsmoothed,ap113,-301.075500488,control
1925,CR,rh,65.0,epi,DefaultC_Rsp,unsmoothed,ap113,-565.256896973,control
1953,FA,lh,51.0,epi,DefaultC_Rsp,unsmoothed,ap113,479.867279053,control
1954,FA,rh,65.0,epi,DefaultC_Rsp,unsmoothed,ap113,53.2578163147,control
1982,sourcehit,lh,51.0,epi,DefaultC_Rsp,unsmoothed,ap113,1729.75402832,control
1983,sourcehit,rh,65.0,epi,DefaultC_Rsp,unsmoothed,ap113,1020.59771729,control
2011,itemhit_lo,lh,51.0,epi,DefaultC_Rsp,unsmoothed,ap113,701.653747559,control
2012,itemhit_lo,rh,65.0,epi,DefaultC_Rsp,unsmoothed,ap113,78.3749237061,control
2040,sourcemiss_hi,lh,51.0,epi,DefaultC_Rsp,unsmoothed,ap113,1951.96594238,control
2041,sourcemiss_hi,rh,65.0,epi,DefaultC_Rsp,unsmoothed,ap113,1129.63256836,control
2069,M,lh,51.0,epi,DefaultC_Rsp,unsmoothed,ap113,-314.169128418,control
2070,M,rh,65.0,epi,DefaultC_Rsp,unsmoothed,ap113,-761.037536621,control
2098,CR,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap114,715.604492188,control
2099,CR,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap114,635.480773926,control
2127,FA,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap114,894.155944824,control
2128,FA,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap114,1057.53759766,control
2156,sourcehit,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap114,2606.89990234,control
2157,sourcehit,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap114,2603.16308594,control
2185,itemhit_lo,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap114,1506.06396484,control
2186,itemhit_lo,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap114,1410.15771484,control
2214,sourcemiss_hi,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap114,3860.21264648,control
2215,sourcemiss_hi,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap114,2947.45019531,control
2243,M,lh,48.0,epi,DefaultC_Rsp,unsmoothed,ap114,765.649353027,control
2244,M,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap114,1550.20727539,control
2272,CR,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap115,-2013.65100098,control
2273,CR,rh,51.0,epi,DefaultC_Rsp,unsmoothed,ap115,-1994.15441895,control
2301,FA,lh,43.0,epi,DefaultC_Rsp,unsmoothed,ap115,-1308.87036133,control
2302,FA,rh,51.0,epi,DefaultC_Rsp,unsmoothed,ap115,-1039.92272949,control
