,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
3171,FA,lh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-1336.62719727,control
3172,FA,rh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-1901.42565918,control
3200,sourcehit,lh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,475.888000488,control
3201,sourcehit,rh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,183.352294922,control
3229,itemhit_lo,lh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-342.98739624,control
3230,itemhit_lo,rh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-779.092224121,control
3258,sourcemiss_hi,lh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-435.455169678,control
3259,sourcemiss_hi,rh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-853.681945801,control
3287,M,lh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-882.979370117,control
3288,M,rh,47.0,epi,DefaultC_Rsp,unsmoothed,ap120,-935.235351562,control
3316,CR,lh,38.0,epi,DefaultC_Rsp,unsmoothed,ap121,264.449249268,control
3317,CR,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap121,593.632263184,control
3345,FA,lh,38.0,epi,DefaultC_Rsp,unsmoothed,ap121,487.988677979,control
3346,FA,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap121,242.472488403,control
3374,sourcehit,lh,38.0,epi,DefaultC_Rsp,unsmoothed,ap121,782.638549805,control
3375,sourcehit,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap121,242.584411621,control
3403,itemhit_lo,lh,38.0,epi,DefaultC_Rsp,unsmoothed,ap121,789.856628418,control
3404,itemhit_lo,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap121,561.955749512,control
3432,sourcemiss_hi,lh,38.0,epi,DefaultC_Rsp,unsmoothed,ap121,1069.51306152,control
3433,sourcemiss_hi,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap121,684.893798828,control
3461,M,lh,38.0,epi,DefaultC_Rsp,unsmoothed,ap121,1780.22143555,control
3462,M,rh,54.0,epi,DefaultC_Rsp,unsmoothed,ap121,1090.96398926,control
3490,CR,lh,53.0,epi,DefaultC_Rsp,unsmoothed,ap122,-1460.7947998,control
3491,CR,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap122,-1375.35559082,control
3519,FA,lh,53.0,epi,DefaultC_Rsp,unsmoothed,ap122,-456.809783936,control
3520,FA,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap122,-500.189331055,control
3548,sourcehit,lh,53.0,epi,DefaultC_Rsp,unsmoothed,ap122,1371.74230957,control
3549,sourcehit,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap122,1263.46520996,control
3577,itemhit_lo,lh,53.0,epi,DefaultC_Rsp,unsmoothed,ap122,293.156677246,control
3578,itemhit_lo,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap122,499.842163086,control
3606,sourcemiss_hi,lh,53.0,epi,DefaultC_Rsp,unsmoothed,ap122,593.846740723,control
3607,sourcemiss_hi,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap122,630.174194336,control
3635,M,lh,53.0,epi,DefaultC_Rsp,unsmoothed,ap122,-559.66394043,control
3636,M,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap122,-164.936355591,control
3664,CR,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap150,128.699737549,stress
3665,CR,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap150,286.667510986,stress
3693,FA,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap150,-589.954956055,stress
3694,FA,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap150,-598.120483398,stress
3722,sourcehit,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap150,2151.24853516,stress
3723,sourcehit,rh,63.0,epi,DefaultC_Rsp,unsmoothed,ap150,1575.96655273,stress
3751,itemhit_lo,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap150,882.922058105,stress
