,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2238,M,rh,27.0,epi,hippocampus-body,unsmoothed,ap114,31.4758625031,control
2266,CR,lh,33.0,epi,hippocampus-body,unsmoothed,ap115,-706.599182129,control
2267,CR,rh,47.0,epi,hippocampus-body,unsmoothed,ap115,-625.448059082,control
2295,FA,lh,33.0,epi,hippocampus-body,unsmoothed,ap115,-473.313598633,control
2296,FA,rh,47.0,epi,hippocampus-body,unsmoothed,ap115,-506.448852539,control
2324,sourcehit,lh,33.0,epi,hippocampus-body,unsmoothed,ap115,364.778778076,control
2325,sourcehit,rh,47.0,epi,hippocampus-body,unsmoothed,ap115,182.349777222,control
2353,itemhit_lo,lh,33.0,epi,hippocampus-body,unsmoothed,ap115,-624.301391602,control
2354,itemhit_lo,rh,47.0,epi,hippocampus-body,unsmoothed,ap115,-582.794189453,control
2382,sourcemiss_hi,lh,33.0,epi,hippocampus-body,unsmoothed,ap115,-171.630325317,control
2383,sourcemiss_hi,rh,47.0,epi,hippocampus-body,unsmoothed,ap115,-463.978973389,control
2411,M,lh,33.0,epi,hippocampus-body,unsmoothed,ap115,-1135.53405762,control
2412,M,rh,47.0,epi,hippocampus-body,unsmoothed,ap115,-1244.76806641,control
2440,CR,lh,12.0,epi,hippocampus-body,unsmoothed,ap116,130.021148682,control
2441,CR,rh,36.0,epi,hippocampus-body,unsmoothed,ap116,-212.788406372,control
2469,FA,lh,12.0,epi,hippocampus-body,unsmoothed,ap116,390.769927979,control
2470,FA,rh,36.0,epi,hippocampus-body,unsmoothed,ap116,751.104248047,control
2498,sourcehit,lh,12.0,epi,hippocampus-body,unsmoothed,ap116,794.036560059,control
2499,sourcehit,rh,36.0,epi,hippocampus-body,unsmoothed,ap116,295.045227051,control
2527,itemhit_lo,lh,12.0,epi,hippocampus-body,unsmoothed,ap116,251.512008667,control
2528,itemhit_lo,rh,36.0,epi,hippocampus-body,unsmoothed,ap116,-113.325004578,control
2556,sourcemiss_hi,lh,12.0,epi,hippocampus-body,unsmoothed,ap116,244.430541992,control
2557,sourcemiss_hi,rh,36.0,epi,hippocampus-body,unsmoothed,ap116,-392.211914062,control
2585,M,lh,12.0,epi,hippocampus-body,unsmoothed,ap116,-9.70407104492,control
2586,M,rh,36.0,epi,hippocampus-body,unsmoothed,ap116,-830.200012207,control
2614,CR,lh,41.0,epi,hippocampus-body,unsmoothed,ap117,-232.372283936,control
2615,CR,rh,32.0,epi,hippocampus-body,unsmoothed,ap117,-165.784942627,control
2643,FA,lh,41.0,epi,hippocampus-body,unsmoothed,ap117,-410.660980225,control
2644,FA,rh,32.0,epi,hippocampus-body,unsmoothed,ap117,-221.860565186,control
2672,sourcehit,lh,41.0,epi,hippocampus-body,unsmoothed,ap117,248.39666748,control
2673,sourcehit,rh,32.0,epi,hippocampus-body,unsmoothed,ap117,391.295288086,control
2701,itemhit_lo,lh,41.0,epi,hippocampus-body,unsmoothed,ap117,-397.386291504,control
2702,itemhit_lo,rh,32.0,epi,hippocampus-body,unsmoothed,ap117,-633.809814453,control
2730,sourcemiss_hi,lh,41.0,epi,hippocampus-body,unsmoothed,ap117,-262.261444092,control
2731,sourcemiss_hi,rh,32.0,epi,hippocampus-body,unsmoothed,ap117,-158.696487427,control
2759,M,lh,41.0,epi,hippocampus-body,unsmoothed,ap117,-197.668563843,control
2760,M,rh,32.0,epi,hippocampus-body,unsmoothed,ap117,-295.09552002,control
2788,CR,lh,35.0,epi,hippocampus-body,unsmoothed,ap118,-744.220214844,control
2789,CR,rh,32.0,epi,hippocampus-body,unsmoothed,ap118,-682.238037109,control
2817,FA,lh,35.0,epi,hippocampus-body,unsmoothed,ap118,-457.287597656,control
2818,FA,rh,32.0,epi,hippocampus-body,unsmoothed,ap118,-287.306762695,control
2846,sourcehit,lh,35.0,epi,hippocampus-body,unsmoothed,ap118,394.363952637,control
2847,sourcehit,rh,32.0,epi,hippocampus-body,unsmoothed,ap118,467.993774414,control
2875,itemhit_lo,lh,35.0,epi,hippocampus-body,unsmoothed,ap118,-710.96875,control
2876,itemhit_lo,rh,32.0,epi,hippocampus-body,unsmoothed,ap118,-539.068969727,control
2904,sourcemiss_hi,lh,35.0,epi,hippocampus-body,unsmoothed,ap118,-260.081878662,control
2905,sourcemiss_hi,rh,32.0,epi,hippocampus-body,unsmoothed,ap118,112.089820862,control
2933,M,lh,35.0,epi,hippocampus-body,unsmoothed,ap118,-403.095428467,control
2934,M,rh,32.0,epi,hippocampus-body,unsmoothed,ap118,-508.996520996,control
2962,CR,lh,33.0,epi,hippocampus-body,unsmoothed,ap119,-1069.18444824,control
2963,CR,rh,38.0,epi,hippocampus-body,unsmoothed,ap119,-877.870178223,control
2991,FA,lh,33.0,epi,hippocampus-body,unsmoothed,ap119,-943.461914062,control
2992,FA,rh,38.0,epi,hippocampus-body,unsmoothed,ap119,-714.070800781,control
3020,sourcehit,lh,33.0,epi,hippocampus-body,unsmoothed,ap119,-154.240524292,control
3021,sourcehit,rh,38.0,epi,hippocampus-body,unsmoothed,ap119,-19.5503330231,control
3049,itemhit_lo,lh,33.0,epi,hippocampus-body,unsmoothed,ap119,-593.249023438,control
3050,itemhit_lo,rh,38.0,epi,hippocampus-body,unsmoothed,ap119,-452.055267334,control
3078,sourcemiss_hi,lh,33.0,epi,hippocampus-body,unsmoothed,ap119,-603.688171387,control
