,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1218,CR,lh,35.0,epi,hippocampus-tail,unsmoothed,ap108,219.98109436,control
1219,CR,rh,30.0,epi,hippocampus-tail,unsmoothed,ap108,215.635284424,control
1247,FA,lh,35.0,epi,hippocampus-tail,unsmoothed,ap108,166.262069702,control
1248,FA,rh,30.0,epi,hippocampus-tail,unsmoothed,ap108,-15.4570560455,control
1276,sourcehit,lh,35.0,epi,hippocampus-tail,unsmoothed,ap108,564.081604004,control
1277,sourcehit,rh,30.0,epi,hippocampus-tail,unsmoothed,ap108,369.970672607,control
1305,itemhit_lo,lh,35.0,epi,hippocampus-tail,unsmoothed,ap108,72.9252243042,control
1306,itemhit_lo,rh,30.0,epi,hippocampus-tail,unsmoothed,ap108,146.029403687,control
1334,sourcemiss_hi,lh,35.0,epi,hippocampus-tail,unsmoothed,ap108,1038.03552246,control
1335,sourcemiss_hi,rh,30.0,epi,hippocampus-tail,unsmoothed,ap108,817.069702148,control
1363,M,lh,35.0,epi,hippocampus-tail,unsmoothed,ap108,-419.795013428,control
1364,M,rh,30.0,epi,hippocampus-tail,unsmoothed,ap108,-333.679595947,control
1392,CR,lh,25.0,epi,hippocampus-tail,unsmoothed,ap109,543.771972656,control
1393,CR,rh,22.0,epi,hippocampus-tail,unsmoothed,ap109,350.331573486,control
1421,FA,lh,25.0,epi,hippocampus-tail,unsmoothed,ap109,35.7815666199,control
1422,FA,rh,22.0,epi,hippocampus-tail,unsmoothed,ap109,89.9959335327,control
1450,sourcehit,lh,25.0,epi,hippocampus-tail,unsmoothed,ap109,742.035339355,control
1451,sourcehit,rh,22.0,epi,hippocampus-tail,unsmoothed,ap109,599.796813965,control
1479,itemhit_lo,lh,25.0,epi,hippocampus-tail,unsmoothed,ap109,746.927734375,control
1480,itemhit_lo,rh,22.0,epi,hippocampus-tail,unsmoothed,ap109,260.787414551,control
1508,sourcemiss_hi,lh,25.0,epi,hippocampus-tail,unsmoothed,ap109,988.863098145,control
1509,sourcemiss_hi,rh,22.0,epi,hippocampus-tail,unsmoothed,ap109,597.01751709,control
1537,M,lh,25.0,epi,hippocampus-tail,unsmoothed,ap109,410.249328613,control
1538,M,rh,22.0,epi,hippocampus-tail,unsmoothed,ap109,334.887329102,control
1566,CR,lh,31.0,epi,hippocampus-tail,unsmoothed,ap110,-156.61668396,control
1567,CR,rh,32.0,epi,hippocampus-tail,unsmoothed,ap110,209.832015991,control
1595,FA,lh,31.0,epi,hippocampus-tail,unsmoothed,ap110,638.828796387,control
1596,FA,rh,32.0,epi,hippocampus-tail,unsmoothed,ap110,798.204467773,control
1624,sourcehit,lh,31.0,epi,hippocampus-tail,unsmoothed,ap110,1084.54345703,control
1625,sourcehit,rh,32.0,epi,hippocampus-tail,unsmoothed,ap110,1439.42138672,control
1653,itemhit_lo,lh,31.0,epi,hippocampus-tail,unsmoothed,ap110,292.200195312,control
1654,itemhit_lo,rh,32.0,epi,hippocampus-tail,unsmoothed,ap110,337.577331543,control
1682,sourcemiss_hi,lh,31.0,epi,hippocampus-tail,unsmoothed,ap110,1432.82189941,control
1683,sourcemiss_hi,rh,32.0,epi,hippocampus-tail,unsmoothed,ap110,1999.87890625,control
1711,M,lh,31.0,epi,hippocampus-tail,unsmoothed,ap110,125.30846405,control
1712,M,rh,32.0,epi,hippocampus-tail,unsmoothed,ap110,525.559509277,control
1740,CR,lh,32.0,epi,hippocampus-tail,unsmoothed,ap111,-237.726898193,control
1741,CR,rh,33.0,epi,hippocampus-tail,unsmoothed,ap111,-348.712188721,control
1769,FA,lh,32.0,epi,hippocampus-tail,unsmoothed,ap111,-610.932006836,control
1770,FA,rh,33.0,epi,hippocampus-tail,unsmoothed,ap111,-652.000915527,control
1798,sourcehit,lh,32.0,epi,hippocampus-tail,unsmoothed,ap111,642.105224609,control
1799,sourcehit,rh,33.0,epi,hippocampus-tail,unsmoothed,ap111,344.906097412,control
1827,itemhit_lo,lh,32.0,epi,hippocampus-tail,unsmoothed,ap111,-216.78137207,control
1828,itemhit_lo,rh,33.0,epi,hippocampus-tail,unsmoothed,ap111,-251.177078247,control
1856,sourcemiss_hi,lh,32.0,epi,hippocampus-tail,unsmoothed,ap111,1002.13903809,control
1857,sourcemiss_hi,rh,33.0,epi,hippocampus-tail,unsmoothed,ap111,574.763061523,control
1885,M,lh,32.0,epi,hippocampus-tail,unsmoothed,ap111,-418.214782715,control
1886,M,rh,33.0,epi,hippocampus-tail,unsmoothed,ap111,-753.023925781,control
1914,CR,lh,34.0,epi,hippocampus-tail,unsmoothed,ap113,178.618896484,control
1915,CR,rh,45.0,epi,hippocampus-tail,unsmoothed,ap113,59.1483840942,control
1943,FA,lh,34.0,epi,hippocampus-tail,unsmoothed,ap113,476.908447266,control
1944,FA,rh,45.0,epi,hippocampus-tail,unsmoothed,ap113,243.632919312,control
1972,sourcehit,lh,34.0,epi,hippocampus-tail,unsmoothed,ap113,1041.86242676,control
1973,sourcehit,rh,45.0,epi,hippocampus-tail,unsmoothed,ap113,557.139099121,control
2001,itemhit_lo,lh,34.0,epi,hippocampus-tail,unsmoothed,ap113,668.782348633,control
2002,itemhit_lo,rh,45.0,epi,hippocampus-tail,unsmoothed,ap113,345.08404541,control
2030,sourcemiss_hi,lh,34.0,epi,hippocampus-tail,unsmoothed,ap113,909.982849121,control
2031,sourcemiss_hi,rh,45.0,epi,hippocampus-tail,unsmoothed,ap113,482.659423828,control
2059,M,lh,34.0,epi,hippocampus-tail,unsmoothed,ap113,393.987091064,control
2060,M,rh,45.0,epi,hippocampus-tail,unsmoothed,ap113,-143.462051392,control
2088,CR,lh,24.0,epi,hippocampus-tail,unsmoothed,ap114,515.991943359,control
2089,CR,rh,27.0,epi,hippocampus-tail,unsmoothed,ap114,705.825683594,control
2117,FA,lh,24.0,epi,hippocampus-tail,unsmoothed,ap114,239.059677124,control
2118,FA,rh,27.0,epi,hippocampus-tail,unsmoothed,ap114,556.301696777,control
2146,sourcehit,lh,24.0,epi,hippocampus-tail,unsmoothed,ap114,863.470031738,control
2147,sourcehit,rh,27.0,epi,hippocampus-tail,unsmoothed,ap114,1053.84362793,control
2175,itemhit_lo,lh,24.0,epi,hippocampus-tail,unsmoothed,ap114,515.605285645,control
2176,itemhit_lo,rh,27.0,epi,hippocampus-tail,unsmoothed,ap114,489.978546143,control
