,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1108,sourcehit,lh,112.0,epi,hippocampus,unsmoothed,ap107,160.122436523,control
1109,sourcehit,rh,129.0,epi,hippocampus,unsmoothed,ap107,56.1638717651,control
1110,sourcehit,bilat,241.0,epi,hippocampus,unsmoothed,ap107,104.476570129,control
1137,itemhit_lo,lh,112.0,epi,hippocampus,unsmoothed,ap107,-684.208557129,control
1138,itemhit_lo,rh,129.0,epi,hippocampus,unsmoothed,ap107,-451.390258789,control
1139,itemhit_lo,bilat,241.0,epi,hippocampus,unsmoothed,ap107,-559.587890625,control
1166,sourcemiss_hi,lh,112.0,epi,hippocampus,unsmoothed,ap107,-551.381958008,control
1167,sourcemiss_hi,rh,129.0,epi,hippocampus,unsmoothed,ap107,-566.078735352,control
1168,sourcemiss_hi,bilat,241.0,epi,hippocampus,unsmoothed,ap107,-559.248718262,control
1195,M,lh,112.0,epi,hippocampus,unsmoothed,ap107,-1355.76086426,control
1196,M,rh,129.0,epi,hippocampus,unsmoothed,ap107,-1182.43237305,control
1197,M,bilat,241.0,epi,hippocampus,unsmoothed,ap107,-1262.98339844,control
1224,CR,lh,133.0,epi,hippocampus,unsmoothed,ap108,55.0178260803,control
1225,CR,rh,139.0,epi,hippocampus,unsmoothed,ap108,69.576675415,control
1226,CR,bilat,272.0,epi,hippocampus,unsmoothed,ap108,62.4578208923,control
1253,FA,lh,133.0,epi,hippocampus,unsmoothed,ap108,-188.588088989,control
1254,FA,rh,139.0,epi,hippocampus,unsmoothed,ap108,-215.970779419,control
1255,FA,bilat,272.0,epi,hippocampus,unsmoothed,ap108,-202.581436157,control
1282,sourcehit,lh,133.0,epi,hippocampus,unsmoothed,ap108,-53.7816963196,control
1283,sourcehit,rh,139.0,epi,hippocampus,unsmoothed,ap108,-224.401443481,control
1284,sourcehit,bilat,272.0,epi,hippocampus,unsmoothed,ap108,-140.973388672,control
1311,itemhit_lo,lh,133.0,epi,hippocampus,unsmoothed,ap108,-421.446533203,control
1312,itemhit_lo,rh,139.0,epi,hippocampus,unsmoothed,ap108,-213.238189697,control
1313,itemhit_lo,bilat,272.0,epi,hippocampus,unsmoothed,ap108,-315.045928955,control
1340,sourcemiss_hi,lh,133.0,epi,hippocampus,unsmoothed,ap108,629.886413574,control
1341,sourcemiss_hi,rh,139.0,epi,hippocampus,unsmoothed,ap108,707.582763672,control
1342,sourcemiss_hi,bilat,272.0,epi,hippocampus,unsmoothed,ap108,669.591430664,control
1369,M,lh,133.0,epi,hippocampus,unsmoothed,ap108,-615.739501953,control
1370,M,rh,139.0,epi,hippocampus,unsmoothed,ap108,-622.628723145,control
1371,M,bilat,272.0,epi,hippocampus,unsmoothed,ap108,-619.260131836,control
1398,CR,lh,121.0,epi,hippocampus,unsmoothed,ap109,104.621063232,control
1399,CR,rh,116.0,epi,hippocampus,unsmoothed,ap109,168.551696777,control
1400,CR,bilat,237.0,epi,hippocampus,unsmoothed,ap109,135.912017822,control
1427,FA,lh,121.0,epi,hippocampus,unsmoothed,ap109,-87.7612609863,control
1428,FA,rh,116.0,epi,hippocampus,unsmoothed,ap109,133.032058716,control
1429,FA,bilat,237.0,epi,hippocampus,unsmoothed,ap109,20.3063583374,control
1456,sourcehit,lh,121.0,epi,hippocampus,unsmoothed,ap109,181.235733032,control
1457,sourcehit,rh,116.0,epi,hippocampus,unsmoothed,ap109,357.46572876,control
1458,sourcehit,bilat,237.0,epi,hippocampus,unsmoothed,ap109,267.491760254,control
1485,itemhit_lo,lh,121.0,epi,hippocampus,unsmoothed,ap109,199.007461548,control
1486,itemhit_lo,rh,116.0,epi,hippocampus,unsmoothed,ap109,208.590652466,control
1487,itemhit_lo,bilat,237.0,epi,hippocampus,unsmoothed,ap109,203.697967529,control
1514,sourcemiss_hi,lh,121.0,epi,hippocampus,unsmoothed,ap109,283.602600098,control
1515,sourcemiss_hi,rh,116.0,epi,hippocampus,unsmoothed,ap109,413.864868164,control
1516,sourcemiss_hi,bilat,237.0,epi,hippocampus,unsmoothed,ap109,347.359649658,control
1543,M,lh,121.0,epi,hippocampus,unsmoothed,ap109,-116.730522156,control
1544,M,rh,116.0,epi,hippocampus,unsmoothed,ap109,9.04854679108,control
1545,M,bilat,237.0,epi,hippocampus,unsmoothed,ap109,-55.167766571,control
1572,CR,lh,141.0,epi,hippocampus,unsmoothed,ap110,-211.052780151,control
1573,CR,rh,146.0,epi,hippocampus,unsmoothed,ap110,-144.957092285,control
1574,CR,bilat,287.0,epi,hippocampus,unsmoothed,ap110,-177.42918396,control
1601,FA,lh,141.0,epi,hippocampus,unsmoothed,ap110,303.238983154,control
1602,FA,rh,146.0,epi,hippocampus,unsmoothed,ap110,288.057098389,control
1603,FA,bilat,287.0,epi,hippocampus,unsmoothed,ap110,295.515777588,control
1630,sourcehit,lh,141.0,epi,hippocampus,unsmoothed,ap110,411.875854492,control
1631,sourcehit,rh,146.0,epi,hippocampus,unsmoothed,ap110,502.219604492,control
1632,sourcehit,bilat,287.0,epi,hippocampus,unsmoothed,ap110,457.834777832,control
1659,itemhit_lo,lh,141.0,epi,hippocampus,unsmoothed,ap110,-38.6589126587,control
1660,itemhit_lo,rh,146.0,epi,hippocampus,unsmoothed,ap110,-110.233985901,control
1661,itemhit_lo,bilat,287.0,epi,hippocampus,unsmoothed,ap110,-75.0699081421,control
1688,sourcemiss_hi,lh,141.0,epi,hippocampus,unsmoothed,ap110,1977.83557129,control
1689,sourcemiss_hi,rh,146.0,epi,hippocampus,unsmoothed,ap110,1726.1048584,control
1690,sourcemiss_hi,bilat,287.0,epi,hippocampus,unsmoothed,ap110,1849.77746582,control
1717,M,lh,141.0,epi,hippocampus,unsmoothed,ap110,164.962844849,control
1718,M,rh,146.0,epi,hippocampus,unsmoothed,ap110,249.282592773,control
1719,M,bilat,287.0,epi,hippocampus,unsmoothed,ap110,207.857208252,control
1746,CR,lh,140.0,epi,hippocampus,unsmoothed,ap111,-505.109863281,control
1747,CR,rh,141.0,epi,hippocampus,unsmoothed,ap111,-491.720397949,control
1748,CR,bilat,281.0,epi,hippocampus,unsmoothed,ap111,-498.391357422,control
1775,FA,lh,140.0,epi,hippocampus,unsmoothed,ap111,-909.743774414,control
1776,FA,rh,141.0,epi,hippocampus,unsmoothed,ap111,-698.893188477,control
1777,FA,bilat,281.0,epi,hippocampus,unsmoothed,ap111,-803.94329834,control
1804,sourcehit,lh,140.0,epi,hippocampus,unsmoothed,ap111,216.748825073,control
1805,sourcehit,rh,141.0,epi,hippocampus,unsmoothed,ap111,150.888305664,control
1806,sourcehit,bilat,281.0,epi,hippocampus,unsmoothed,ap111,183.701385498,control
1833,itemhit_lo,lh,140.0,epi,hippocampus,unsmoothed,ap111,-548.580383301,control
1834,itemhit_lo,rh,141.0,epi,hippocampus,unsmoothed,ap111,-390.509918213,control
1835,itemhit_lo,bilat,281.0,epi,hippocampus,unsmoothed,ap111,-469.263916016,control
1862,sourcemiss_hi,lh,140.0,epi,hippocampus,unsmoothed,ap111,260.256774902,control
1863,sourcemiss_hi,rh,141.0,epi,hippocampus,unsmoothed,ap111,470.901641846,control
1864,sourcemiss_hi,bilat,281.0,epi,hippocampus,unsmoothed,ap111,365.95401001,control
1891,M,lh,140.0,epi,hippocampus,unsmoothed,ap111,-669.552124023,control
1892,M,rh,141.0,epi,hippocampus,unsmoothed,ap111,-670.544921875,control
1893,M,bilat,281.0,epi,hippocampus,unsmoothed,ap111,-670.050292969,control
1920,CR,lh,157.0,epi,hippocampus,unsmoothed,ap113,9.32532978058,control
1921,CR,rh,169.0,epi,hippocampus,unsmoothed,ap113,7.96493816376,control
1922,CR,bilat,326.0,epi,hippocampus,unsmoothed,ap113,8.62009811401,control
1949,FA,lh,157.0,epi,hippocampus,unsmoothed,ap113,134.080856323,control
1950,FA,rh,169.0,epi,hippocampus,unsmoothed,ap113,124.981620789,control
1951,FA,bilat,326.0,epi,hippocampus,unsmoothed,ap113,129.363754272,control
1978,sourcehit,lh,157.0,epi,hippocampus,unsmoothed,ap113,428.420379639,control
1979,sourcehit,rh,169.0,epi,hippocampus,unsmoothed,ap113,323.034637451,control
1980,sourcehit,bilat,326.0,epi,hippocampus,unsmoothed,ap113,373.787902832,control
2007,itemhit_lo,lh,157.0,epi,hippocampus,unsmoothed,ap113,139.101470947,control
2008,itemhit_lo,rh,169.0,epi,hippocampus,unsmoothed,ap113,213.833328247,control
2009,itemhit_lo,bilat,326.0,epi,hippocampus,unsmoothed,ap113,177.842834473,control
2036,sourcemiss_hi,lh,157.0,epi,hippocampus,unsmoothed,ap113,362.159545898,control
