,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
1608,FA,rh,1937.0,epi,frontoparietal,unsmoothed,ap110,-202.999221802,control
1636,sourcehit,lh,1673.0,epi,frontoparietal,unsmoothed,ap110,1232.42614746,control
1637,sourcehit,rh,1937.0,epi,frontoparietal,unsmoothed,ap110,210.565246582,control
1665,itemhit_lo,lh,1673.0,epi,frontoparietal,unsmoothed,ap110,685.368103027,control
1666,itemhit_lo,rh,1937.0,epi,frontoparietal,unsmoothed,ap110,-425.576721191,control
1694,sourcemiss_hi,lh,1673.0,epi,frontoparietal,unsmoothed,ap110,1671.05200195,control
1695,sourcemiss_hi,rh,1937.0,epi,frontoparietal,unsmoothed,ap110,1782.68908691,control
1723,M,lh,1673.0,epi,frontoparietal,unsmoothed,ap110,-184.445556641,control
1724,M,rh,1937.0,epi,frontoparietal,unsmoothed,ap110,370.349182129,control
1752,CR,lh,1499.0,epi,frontoparietal,unsmoothed,ap111,-1040.54980469,control
1753,CR,rh,1946.0,epi,frontoparietal,unsmoothed,ap111,-823.213623047,control
1781,FA,lh,1499.0,epi,frontoparietal,unsmoothed,ap111,-572.921875,control
1782,FA,rh,1946.0,epi,frontoparietal,unsmoothed,ap111,-877.92401123,control
1810,sourcehit,lh,1499.0,epi,frontoparietal,unsmoothed,ap111,452.862030029,control
1811,sourcehit,rh,1946.0,epi,frontoparietal,unsmoothed,ap111,-777.78527832,control
1839,itemhit_lo,lh,1499.0,epi,frontoparietal,unsmoothed,ap111,-20.5470314026,control
1840,itemhit_lo,rh,1946.0,epi,frontoparietal,unsmoothed,ap111,-765.770568848,control
1868,sourcemiss_hi,lh,1499.0,epi,frontoparietal,unsmoothed,ap111,1229.96533203,control
1869,sourcemiss_hi,rh,1946.0,epi,frontoparietal,unsmoothed,ap111,510.341888428,control
1897,M,lh,1499.0,epi,frontoparietal,unsmoothed,ap111,-1255.33825684,control
1898,M,rh,1946.0,epi,frontoparietal,unsmoothed,ap111,-1202.10253906,control
1926,CR,lh,1459.0,epi,frontoparietal,unsmoothed,ap113,59.9952468872,control
1927,CR,rh,1770.0,epi,frontoparietal,unsmoothed,ap113,-246.159988403,control
1955,FA,lh,1459.0,epi,frontoparietal,unsmoothed,ap113,1084.33374023,control
1956,FA,rh,1770.0,epi,frontoparietal,unsmoothed,ap113,214.625778198,control
1984,sourcehit,lh,1459.0,epi,frontoparietal,unsmoothed,ap113,1388.37854004,control
