,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2579,sourcemiss_hi,lh,173.0,epi,DefaultA_IPL,unsmoothed,ap116,-3989.48413086,control
2608,M,lh,173.0,epi,DefaultA_IPL,unsmoothed,ap116,-3358.7355957,control
2637,CR,lh,101.0,epi,DefaultA_IPL,unsmoothed,ap117,-2144.11279297,control
2666,FA,lh,101.0,epi,DefaultA_IPL,unsmoothed,ap117,-1731.45825195,control
2695,sourcehit,lh,101.0,epi,DefaultA_IPL,unsmoothed,ap117,-24.5389118195,control
2724,itemhit_lo,lh,101.0,epi,DefaultA_IPL,unsmoothed,ap117,-1764.88366699,control
2753,sourcemiss_hi,lh,101.0,epi,DefaultA_IPL,unsmoothed,ap117,-965.407470703,control
2782,M,lh,101.0,epi,DefaultA_IPL,unsmoothed,ap117,-2547.90161133,control
2811,CR,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap118,-2664.74072266,control
2840,FA,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap118,-2022.89575195,control
2869,sourcehit,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap118,455.805206299,control
2898,itemhit_lo,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap118,-2085.67163086,control
2927,sourcemiss_hi,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap118,-1778.6739502,control
2956,M,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap118,-2088.20947266,control
2985,CR,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap119,-2528.57373047,control
3014,FA,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap119,-1568.91625977,control
3043,sourcehit,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap119,-192.149795532,control
3072,itemhit_lo,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap119,-2243.69262695,control
3101,sourcemiss_hi,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap119,479.047027588,control
3130,M,lh,120.0,epi,DefaultA_IPL,unsmoothed,ap119,-2414.82446289,control
3159,CR,lh,93.0,epi,DefaultA_IPL,unsmoothed,ap120,-862.88482666,control
3188,FA,lh,93.0,epi,DefaultA_IPL,unsmoothed,ap120,-1009.92297363,control
3217,sourcehit,lh,93.0,epi,DefaultA_IPL,unsmoothed,ap120,965.76965332,control
3246,itemhit_lo,lh,93.0,epi,DefaultA_IPL,unsmoothed,ap120,-2.98727321625,control
3275,sourcemiss_hi,lh,93.0,epi,DefaultA_IPL,unsmoothed,ap120,490.9453125,control
3304,M,lh,93.0,epi,DefaultA_IPL,unsmoothed,ap120,-1208.82666016,control
3333,CR,lh,98.0,epi,DefaultA_IPL,unsmoothed,ap121,-601.221435547,control
3362,FA,lh,98.0,epi,DefaultA_IPL,unsmoothed,ap121,158.574310303,control
3391,sourcehit,lh,98.0,epi,DefaultA_IPL,unsmoothed,ap121,225.516403198,control
3420,itemhit_lo,lh,98.0,epi,DefaultA_IPL,unsmoothed,ap121,530.60760498,control
3449,sourcemiss_hi,lh,98.0,epi,DefaultA_IPL,unsmoothed,ap121,1238.79614258,control
3478,M,lh,98.0,epi,DefaultA_IPL,unsmoothed,ap121,-190.820266724,control
3507,CR,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap122,-2098.05761719,control
3536,FA,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap122,-1704.86474609,control
3565,sourcehit,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap122,-499.214355469,control
3594,itemhit_lo,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap122,-296.608825684,control
3623,sourcemiss_hi,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap122,-933.534240723,control
3652,M,lh,146.0,epi,DefaultA_IPL,unsmoothed,ap122,-1247.31652832,control
3681,CR,lh,150.0,epi,DefaultA_IPL,unsmoothed,ap150,-1399.5904541,stress
3710,FA,lh,150.0,epi,DefaultA_IPL,unsmoothed,ap150,-1243.79138184,stress
3739,sourcehit,lh,150.0,epi,DefaultA_IPL,unsmoothed,ap150,-11.6616210938,stress
3768,itemhit_lo,lh,150.0,epi,DefaultA_IPL,unsmoothed,ap150,-1688.52294922,stress
3797,sourcemiss_hi,lh,150.0,epi,DefaultA_IPL,unsmoothed,ap150,-1947.19042969,stress
3826,M,lh,150.0,epi,DefaultA_IPL,unsmoothed,ap150,-2888.48364258,stress
3855,CR,lh,108.0,epi,DefaultA_IPL,unsmoothed,ap152,1068.0958252,stress
3884,FA,lh,108.0,epi,DefaultA_IPL,unsmoothed,ap152,709.844909668,stress
3913,sourcehit,lh,108.0,epi,DefaultA_IPL,unsmoothed,ap152,1147.28796387,stress
3942,itemhit_lo,lh,108.0,epi,DefaultA_IPL,unsmoothed,ap152,487.189453125,stress
3971,sourcemiss_hi,lh,108.0,epi,DefaultA_IPL,unsmoothed,ap152,423.25894165,stress
4000,M,lh,108.0,epi,DefaultA_IPL,unsmoothed,ap152,804.097351074,stress
4029,CR,lh,118.0,epi,DefaultA_IPL,unsmoothed,ap153,-377.483551025,stress
4058,FA,lh,118.0,epi,DefaultA_IPL,unsmoothed,ap153,-1889.60327148,stress
4087,sourcehit,lh,118.0,epi,DefaultA_IPL,unsmoothed,ap153,-367.459472656,stress
4116,itemhit_lo,lh,118.0,epi,DefaultA_IPL,unsmoothed,ap153,-28.3513832092,stress
4145,sourcemiss_hi,lh,118.0,epi,DefaultA_IPL,unsmoothed,ap153,-907.50378418,stress
4174,M,lh,118.0,epi,DefaultA_IPL,unsmoothed,ap153,-370.572692871,stress
4203,CR,lh,152.0,epi,DefaultA_IPL,unsmoothed,ap154,-1326.63000488,stress
4232,FA,lh,152.0,epi,DefaultA_IPL,unsmoothed,ap154,-264.633911133,stress
4261,sourcehit,lh,152.0,epi,DefaultA_IPL,unsmoothed,ap154,-372.209228516,stress
